sex,age,Medu,traveltime,studytime,failures,paid,activities,higher,internet,famrel,absences,G3
F,18,4,2,2,0,no,no,yes,no,4,6,6
F,17,1,1,2,0,no,no,yes,yes,5,4,6
F,15,1,1,2,3,yes,no,yes,yes,4,10,10
F,15,4,1,3,0,yes,yes,yes,yes,3,2,15
F,16,3,1,2,0,yes,no,yes,no,4,4,10
M,16,4,1,2,0,yes,yes,yes,yes,5,10,15
M,16,2,1,2,0,no,no,yes,yes,4,0,11
F,17,4,2,2,0,no,no,yes,no,4,6,6
M,15,3,1,2,0,yes,no,yes,yes,4,0,19
M,15,3,1,2,0,yes,yes,yes,yes,5,0,15
F,15,4,1,2,0,yes,no,yes,yes,3,0,9
F,15,2,3,3,0,no,yes,yes,yes,5,4,12
M,15,4,1,1,0,yes,yes,yes,yes,4,2,14
M,15,4,2,2,0,yes,no,yes,yes,5,2,11
M,15,2,1,3,0,no,no,yes,yes,4,0,16
F,16,4,1,1,0,no,no,yes,yes,4,4,14
F,16,4,1,3,0,yes,yes,yes,yes,3,6,14
F,16,3,3,2,0,no,yes,yes,no,5,4,10
M,17,3,1,1,3,no,yes,yes,yes,5,16,5
M,16,4,1,1,0,yes,yes,yes,yes,3,4,10
M,15,4,1,2,0,no,no,yes,yes,4,0,15
M,15,4,1,1,0,yes,no,yes,yes,5,0,15
M,16,4,1,2,0,no,yes,yes,yes,4,2,16
M,16,2,2,2,0,no,yes,yes,yes,5,0,12
F,15,2,1,3,0,yes,yes,yes,yes,4,2,8
F,16,2,1,1,2,yes,no,yes,yes,1,14,8
M,15,2,1,1,0,yes,no,yes,yes,4,2,11
M,15,4,1,1,0,yes,no,yes,yes,2,4,15
M,16,3,1,2,0,no,yes,yes,yes,5,4,11
M,16,4,1,2,0,yes,yes,yes,yes,4,16,11
M,15,4,1,2,0,yes,no,yes,yes,5,0,12
M,15,4,2,2,0,no,yes,yes,yes,4,0,17
M,15,4,1,2,0,no,yes,yes,yes,4,0,16
M,15,3,1,2,0,no,yes,yes,yes,5,0,12
M,16,3,1,1,0,yes,no,yes,yes,5,0,15
F,15,2,2,1,0,no,yes,yes,no,3,0,6
M,15,4,1,3,0,no,yes,yes,yes,5,2,18
M,16,4,2,3,0,no,yes,yes,yes,2,7,15
F,15,3,1,3,0,yes,yes,yes,yes,4,2,11
F,15,2,1,1,0,yes,yes,yes,no,4,8,13
F,16,2,2,2,1,no,yes,yes,yes,3,25,11
M,15,4,1,1,0,no,no,yes,yes,5,8,12
M,15,4,1,2,0,no,yes,yes,yes,4,2,18
M,15,2,1,1,0,no,no,yes,yes,5,0,11
F,16,2,2,2,1,no,yes,yes,yes,4,14,9
F,15,4,1,2,0,yes,yes,yes,yes,5,8,6
F,16,3,1,2,0,no,no,yes,yes,2,12,11
M,16,4,1,4,0,no,yes,yes,yes,4,4,20
M,15,4,1,2,0,yes,no,yes,no,4,2,14
F,15,4,1,2,1,no,yes,yes,yes,4,2,7
F,16,2,3,2,0,yes,no,yes,yes,4,2,13
F,15,4,1,2,0,yes,no,yes,yes,4,2,13
M,15,4,2,1,1,no,no,yes,no,5,6,10
F,15,4,1,1,0,yes,no,yes,yes,3,0,11
F,15,3,1,1,0,yes,no,yes,yes,5,6,13
F,16,2,1,2,0,yes,yes,yes,yes,5,8,10
F,15,4,1,2,0,yes,yes,yes,yes,4,0,15
M,15,4,1,2,0,no,yes,yes,no,3,4,15
M,15,1,1,2,0,no,yes,yes,yes,4,2,9
F,16,4,1,2,0,no,no,yes,yes,4,2,16
F,16,4,1,2,0,no,yes,yes,no,2,6,11
F,16,1,4,1,0,no,yes,yes,yes,5,6,11
